gene,zonation
1810058I24Rik,pericentral
Acot1,pericentral
Adgrv1,pericentral
Adh1,pericentral
Adh6-ps1,pericentral
Ahr,pericentral
Akr1c20,pericentral
Akr1c6,pericentral
Alad,pericentral
Aldh1a1,pericentral
Aldh3a2,pericentral
Ang,pericentral
Aqp9,pericentral
Avpr1a,pericentral
B3galnt1,pericentral
Blvrb,pericentral
C2cd2,pericentral
C6,pericentral
Camk1d,pericentral
Car3,pericentral
Cdh2,pericentral
Celf2,pericentral
Ces1g,pericentral
Ces2c,pericentral
Cldn2,pericentral
Cpox,pericentral
Creg1,pericentral
Cs,pericentral
Csad,pericentral
Csrp3,pericentral
Cyb5a,pericentral
Cyb5b,pericentral
Cyp1a2,pericentral
Cyp26a1,pericentral
Cyp27a1,pericentral
Cyp2a4,pericentral
Cyp2a5,pericentral
Cyp2c29,pericentral
Cyp2c37,pericentral
Cyp2c38,pericentral
Cyp2c39,pericentral
Cyp2c40,pericentral
Cyp2c50,pericentral
Cyp2c54,pericentral
Cyp2c55,pericentral
Cyp2e1,pericentral
Cyp2g1,pericentral
Cyp3a11,pericentral
Cyp7a1,pericentral
Dclre1a,pericentral
Dclre1c,pericentral
Dhrs1,pericentral
Dlat,pericentral
Eci2,pericentral
Egln3,pericentral
Elovl3,pericentral
Enpp1,pericentral
Entpd5,pericentral
Fam107b,pericentral
Fbxo21,pericentral
Fermt2,pericentral
Fmn2,pericentral
Fmo1,pericentral
Gch1,pericentral
Gfra1,pericentral
Glul,pericentral
Gne,pericentral
Gsta3,pericentral
Gstm1,pericentral
Gstm2,pericentral
Gstm3,pericentral
Gstm6,pericentral
Gulo,pericentral
Hpgd,pericentral
Hsd3b4,pericentral
Hsd3b5,pericentral
Hsd3b7,pericentral
Igfbp1,pericentral
Inmt,pericentral
Khdrbs3,pericentral
Kif1b,pericentral
Lect2,pericentral
Lhpp,pericentral
Lifr,pericentral
Limd2,pericentral
Mfsd4b1,pericentral
Ncald,pericentral
Nceh1,pericentral
Ndrg1,pericentral
Notum,pericentral
Npr2,pericentral
Nr1i3,pericentral
Nrn1,pericentral
Nrp1,pericentral
Nt5e,pericentral
Oat,pericentral
Pafah2,pericentral
Pcp4l1,pericentral
Pde4b,pericentral
Pfkfb1,pericentral
Pla2g12a,pericentral
Plbd1,pericentral
Pon1,pericentral
Por,pericentral
Prodh,pericentral
Rap2a,pericentral
Rarres1,pericentral
Rdh16,pericentral
Rdh9,pericentral
Rgn,pericentral
Rhbg,pericentral
Rnase4,pericentral
Rnf14,pericentral
Serpina6,pericentral
Serpine2,pericentral
Sgk2,pericentral
Slc16a10,pericentral
Slc16a11,pericentral
Slc1a2,pericentral
Slc1a4,pericentral
Slc22a1,pericentral
Slco1a1,pericentral
Slco1b2,pericentral
Socs2,pericentral
Sord,pericentral
Stbd1,pericentral
Sult1b1,pericentral
Sult1d1,pericentral
Tbx3,pericentral
Tenm2,pericentral
Tmem243,pericentral
Tnfaip8l1,pericentral
Tnfrsf19,pericentral
Tsc22d1,pericentral
Ube2e2,pericentral
Ugt3a2,pericentral
